Action,Date,Price,Capital
Buy,2020-10-13,3511.93,10369.545060974486
Buy,2020-10-14,3488.67,10363.197230523485
Buy,2020-10-15,3483.34,10361.754675375416
Buy,2020-10-16,3483.81,10361.880224525796
Buy,2020-10-19,3426.92,10346.531741363426
Buy,2020-10-20,3443.12,10350.904572070165
Buy,2020-10-21,3435.56,10348.852106195576
Buy,2020-10-22,3453.49,10353.659598071876
Buy,2020-10-23,3465.39,10356.867356502351
Buy,2020-10-26,3400.97,10339.383834941733
Buy,2020-10-27,3390.68,10336.583399208015
Buy,2020-10-28,3271.03,10304.399011665886
Buy,2020-10-29,3310.11,10315.104213374745
Buy,2020-10-30,3269.96,10304.112362160067
Buy,2020-11-02,3310.24,10315.101803707119
Buy,2020-11-03,3369.16,10331.16199843171
Buy,2020-11-04,3443.44,10351.288361686547
Buy,2020-11-05,3510.45,10369.266165999226
Buy,2020-11-06,3509.44,10368.99727889241
Buy,2020-11-09,3550.5,10379.778031990509
Buy,2020-11-10,3545.53,10378.47408968649
Buy,2020-11-11,3572.66,10385.50120999102
Buy,2020-11-12,3537.01,10376.240447635324
Buy,2020-11-13,3585.15,10388.683788982546
Buy,2020-11-16,3626.91,10399.451440166544
Buy,2020-11-17,3609.53,10394.973779131058
Buy,2020-11-18,3567.79,10384.322638082445
Buy,2020-11-19,3581.87,10387.903075038115
Buy,2020-11-20,3557.54,10381.67716966198
Buy,2020-11-23,3577.59,10386.767685847202
Buy,2020-11-24,3635.41,10401.51759452092
Buy,2020-11-25,3629.65,10400.055352667068
Buy,2020-11-27,3638.35,10402.236566320511
Buy,2020-11-30,3621.63,10398.012775731178
Buy,2020-12-01,3662.45,10408.225027665665
Buy,2020-12-02,3669.01,10409.86543086436
Buy,2020-12-03,3666.72,10409.288193019953
Buy,2020-12-04,3699.12,10417.348201280258
Buy,2020-12-07,3691.96,10415.564163819825
Buy,2020-12-08,3702.25,10418.097548588868
Buy,2020-12-09,3672.82,10410.800259132211
Buy,2020-12-10,3668.1,10409.63745507319
Buy,2020-12-11,3663.46,10408.508788590547
Buy,2020-12-14,3647.49,10404.673760229834
Buy,2020-12-15,3694.62,10415.877178523868
Buy,2020-12-16,3701.17,10417.43159915106
Buy,2020-12-17,3722.48,10422.531097029432
Buy,2020-12-18,3709.41,10419.389140694293
Buy,2020-12-21,3694.92,10415.942679291094
Buy,2020-12-22,3687.26,10414.139603347683
Buy,2020-12-23,3690.01,10414.779053714512
Buy,2020-12-24,3703.06,10417.842290584167
Buy,2020-12-28,3735.36,10425.475353430249
Buy,2020-12-29,3727.04,10423.505481768529
Buy,2020-12-30,3732.04,10424.675426437763
Buy,2020-12-31,3756.07,10430.346835436816
Buy,2021-01-04,3700.65,10417.2166907064
Buy,2021-01-05,3726.86,10423.425928019778
Buy,2021-01-06,3748.14,10428.483673470857
