Date_S&P500,S&P500,Bond_Rate
2021-01-14,3795.54,0.075
2021-01-13,3809.84,0.08
2021-01-12,3801.19,0.08
2021-01-11,3799.61,0.08
2021-01-08,3824.68,0.08
2021-01-07,3803.79,0.08
2021-01-06,3748.14,0.078
2021-01-05,3726.86,0.078
2021-01-04,3700.65,0.068
2020-12-31,3756.07,0.065
2020-12-30,3732.04,0.07
2020-12-29,3727.04,0.09
2020-12-28,3735.36,0.08
2020-12-24,3703.06,0.075
2020-12-23,3690.01,0.075
2020-12-22,3687.26,0.078
2020-12-21,3694.92,0.078
2020-12-18,3709.41,0.08
2020-12-17,3722.48,0.08
2020-12-16,3701.17,0.075
2020-12-15,3694.62,0.07
2020-12-14,3647.49,0.06
2020-12-11,3663.46,0.065
2020-12-10,3668.1,0.07
2020-12-09,3672.82,0.07
2020-12-08,3702.25,0.068
2020-12-07,3691.96,0.07
2020-12-04,3699.12,0.075
2020-12-03,3666.72,0.075
2020-12-02,3669.01,0.075
2020-12-01,3662.45,0.08
2020-11-30,3621.63,0.075
2020-11-27,3638.35,0.073
2020-11-25,3629.65,0.08
2020-11-24,3635.41,0.08
2020-11-23,3577.59,0.07
2020-11-20,3557.54,0.058
2020-11-19,3581.87,0.06
2020-11-18,3567.79,0.075
2020-11-17,3609.53,0.08
2020-11-16,3626.91,0.075
2020-11-13,3585.15,0.083
2020-11-12,3537.01,0.085
2020-11-11,3572.66,0.09
2020-11-10,3545.53,0.09
2020-11-09,3550.5,0.088
2020-11-06,3509.44,0.083
2020-11-05,3510.45,0.085
2020-11-04,3443.44,0.083
2020-11-03,3369.16,0.09
2020-11-02,3310.24,0.083
2020-10-30,3269.96,0.083
2020-10-29,3310.11,0.083
2020-10-28,3271.03,0.09
2020-10-27,3390.68,0.09
2020-10-26,3400.97,0.08
2020-10-23,3465.39,0.083
2020-10-22,3453.49,0.085
2020-10-21,3435.56,0.09
2020-10-20,3443.12,0.095
2020-10-19,3426.92,0.09
2020-10-16,3483.81,0.09
2020-10-15,3483.34,0.095
2020-10-14,3488.67,0.1
2020-10-13,3511.93,0.093
2020-10-12,3534.22,0.09
2020-10-09,3477.14,0.093
2020-10-08,3446.83,0.088
2020-10-07,3419.44,0.088
2020-10-06,3360.97,0.088
2020-10-05,3408.6,0.085
2020-10-02,3348.42,0.085
2020-10-01,3380.8,0.083
2020-09-30,3363.0,0.085
2020-09-29,3335.47,0.085
2020-09-28,3351.6,0.088
2020-09-25,3298.46,0.09
2020-09-24,3246.59,0.093
2020-09-23,3236.92,0.088
2020-09-22,3315.57,0.088
2020-09-21,3281.06,0.08
2020-09-18,3319.47,0.083
2020-09-17,3357.01,0.085
2020-09-16,3385.49,0.1
2020-09-15,3401.2,0.1
2020-09-14,3383.54,0.1
2020-09-11,3340.97,0.103
2020-09-10,3339.19,0.103
2020-09-09,3398.96,0.105
2020-09-08,3331.84,0.108
2020-09-04,3426.96,0.103
2020-09-03,3455.06,0.1
2020-09-02,3580.84,0.1
2020-09-01,3526.65,0.1
2020-08-31,3500.31,0.095
2020-08-28,3508.01,0.095
2020-08-27,3484.55,0.095
2020-08-26,3478.73,0.093
2020-08-25,3443.62,0.095
2020-08-24,3431.28,0.085
2020-08-21,3397.16,0.088
2020-08-20,3385.51,0.088
2020-08-19,3374.85,0.095
2020-08-18,3389.78,0.1
2020-08-17,3381.99,0.085
2020-08-14,3372.85,0.088
2020-08-13,3373.43,0.09
2020-08-12,3380.35,0.1
2020-08-11,3333.69,0.1
2020-08-10,3360.47,0.088
2020-08-07,3351.28,0.088
2020-08-06,3349.16,0.088
2020-08-05,3327.77,0.095
2020-08-04,3306.51,0.09
2020-08-03,3294.61,0.078
2020-07-31,3271.12,0.083
2020-07-30,3246.22,0.085
2020-07-29,3258.44,0.09
2020-07-28,3218.44,0.103
2020-07-27,3239.41,0.093
2020-07-24,3215.63,0.098
2020-07-23,3235.66,0.103
2020-07-22,3276.02,0.1
2020-07-21,3257.3,0.11
2020-07-20,3251.84,0.105
2020-07-17,3224.73,0.105
2020-07-16,3215.57,0.103
2020-07-15,3226.56,0.125
2020-07-14,3197.52,0.133
2020-07-13,3155.22,0.125
2020-07-10,3185.04,0.12
2020-07-09,3152.05,0.123
2020-07-08,3169.94,0.135
2020-07-07,3145.32,0.14
